time_s,voltage_V,current_A,power_W,temp_C
0.0,230.69116838412958,5.581148848165374,1157.793582526781,27.034984341776475
0.1,232.3091316166048,7.133002039637144,1183.5487197330199,33.67337209597362
0.2,231.9880432139141,5.832511387536406,1148.8940287826958,42.17165318116182
0.3,229.37291721082747,6.071552611541522,1181.297271691076,50.010152323286476
0.4,234.42826930771545,6.1268712843676925,1046.9822791404513,34.38803419573628
0.5,234.13046565321702,7.144864596863684,1105.3729166170265,18.35817390402713
0.6,232.76149783811306,6.4271807756591945,1218.457711882504,22.174659029930833
0.7,235.56870897548845,7.11920381073744,1100.65924409128,26.09937938654974
0.8,235.67610321693004,7.143219957794266,1138.2678092389913,41.142097855079584
0.9,236.0413750734977,7.055314880072575,1177.7041414037838,29.053968496724277
1.0,235.97825930819988,6.458102099166487,1114.1312159435217,33.14338340720822
1.1,237.44204839921645,6.752228144047557,1178.3349798076306,23.48852560073093
1.2,235.25885970445984,7.668393194096641,1092.3097421605387,28.433588047329756
1.3,236.7423720941075,6.471047022726111,1072.8997526506823,29.357500403238728
1.4,236.39132120867006,6.62909532637676,1096.261907948779,21.88765712046985
1.5,238.78956938011393,6.857651796838448,1083.2853034400944,29.7947436662155
1.6,237.85494742586982,7.193596210216865,1148.7256250082492,32.062997790226476
1.7,237.32025065573347,6.905127034096265,1136.7224266826179,23.5802280480417
1.8,236.41614296811875,7.023236397015883,1162.5711036577727,31.64362269091933
1.9,237.48498682086523,6.209466333054994,1108.0042211965424,37.03963952114205
2.0,237.97954802305082,6.912902753534514,1251.1502948572925,24.942545116375964
2.1,237.32068176439276,6.650558232213218,1145.6151668668988,24.534506235696817
2.2,240.31400485885644,5.663199615981606,1147.6033044518483,22.705238669254772
2.3,239.53969463191288,6.786040982087406,1167.6664054378136,21.013658598337376
2.4,231.8520544566735,6.947961887713031,1139.6960098531492,25.509164676167995
2.5,233.1939990395948,5.577344446637177,1124.1791686416345,22.13241524464196
2.6,236.27173863289735,5.754668443348181,1152.871941733813,22.69182744922665
2.7,235.38020475195066,6.133925057928106,1186.1911032034764,20.219089470784436
2.8,236.21197304890381,4.821018200810885,1176.0703620835618,16.709676370592906
